1,86.61,28.22,-11.42
2,86.61,28.2,-11.44
3,86.61,28.19,-11.46
4,86.61,28.17,-11.48
5,86.61,28.14,-11.5
6,86.61,28.12,-11.52
7,86.61,28.1,-11.54
8,86.61,28.07,-11.57
9,86.61,28.07,-11.57
10,86.61,27.72,-11.91
11,86.61,27.72,-11.91
12,86.61,27.73,-11.9
13,86.61,27.72,-11.91
14,86.61,27.72,-11.91
15,86.6,27.71,-11.92
16,86.61,27.7,-11.92
17,86.6,27.7,-11.93
18,86.6,27.69,-11.94
19,86.6,27.68,-11.94
20,86.6,27.68,-11.94
21,86.6,27.35,-12.26
22,86.6,27.35,-12.27
23,86.6,27.34,-12.28
24,86.6,27.31,-12.3
25,86.6,27.31,-12.3
26,86.6,27.31,-12.3
27,86.6,27.29,-12.32
28,86.59,27.28,-12.33
29,86.59,27.28,-12.33
30,86.59,27.27,-12.34
31,86.59,27.27,-12.34
32,86.59,27.03,-12.57
33,86.59,27.01,-12.59
34,86.59,26.99,-12.61
35,86.59,27,-12.6
36,86.59,27,-12.6
37,86.59,27,-12.6
38,86.59,27.01,-12.59
39,86.59,27,-12.59
40,86.59,26.99,-12.61
41,86.59,26.97,-12.63
42,86.59,26.97,-12.63
43,86.59,26.79,-12.8
44,86.59,26.79,-12.8
45,86.59,26.79,-12.8
46,86.59,26.78,-12.8
47,86.59,26.77,-12.82
48,86.59,26.76,-12.83
49,86.59,26.74,-12.84
50,86.59,26.72,-12.86
51,86.59,26.72,-12.87
52,86.59,26.72,-12.86
53,86.59,26.72,-12.86
54,86.59,26.48,-13.09
55,86.59,26.48,-13.09
56,86.59,26.47,-13.1
57,86.59,26.47,-13.11
58,86.59,26.47,-13.1
59,86.59,26.47,-13.1
60,86.59,26.46,-13.11
61,86.59,26.45,-13.12
62,86.59,26.45,-13.12
63,86.59,26.45,-13.12
64,86.59,26.45,-13.12
65,86.66,33.5,-6.07
66,86.66,33.47,-6.1
67,86.66,33.42,-6.15
68,86.66,33.39,-6.18
69,86.66,33.37,-6.2
70,86.66,33.35,-6.22
71,86.66,33.31,-6.26
72,86.66,33.27,-6.3
73,86.66,33.22,-6.35
74,86.66,33.18,-6.39
75,86.66,33.18,-6.39
76,86.68,39.62,0.05
77,86.68,39.56,-0.01
78,86.68,39.49,-0.07
79,86.68,39.42,-0.15
80,86.68,39.38,-0.18
81,86.68,39.31,-0.25
82,86.68,39.27,-0.29
83,86.68,39.23,-0.33
84,86.68,39.18,-0.38
85,86.68,39.12,-0.44
86,86.68,39.12,-0.44
87,86.68,37.37,-2.18
88,86.68,37.33,-2.22
89,86.68,37.29,-2.25
90,86.68,37.23,-2.32
91,86.68,37.19,-2.36
92,86.68,37.13,-2.42
93,86.68,37.09,-2.45
94,86.68,37.04,-2.5
95,86.68,36.98,-2.56
96,86.68,36.93,-2.61
97,86.68,36.93,-2.61
98,86.68,35.5,-4.03
99,86.68,35.47,-4.06
100,86.68,35.41,-4.12
101,86.68,35.37,-4.16
102,86.68,35.34,-4.19
103,86.68,35.29,-4.24
104,86.68,35.24,-4.28
105,86.68,35.2,-4.32
106,86.68,35.17,-4.36
107,86.68,35.13,-4.4
108,86.68,35.13,-4.4
109,86.67,33.78,-5.73
110,86.67,33.77,-5.74
111,86.67,33.74,-5.77
112,86.67,33.73,-5.78
113,86.67,33.69,-5.82
114,86.67,33.69,-5.82
115,86.67,32.98,-6.52
116,86.67,32.94,-6.56
117,86.67,32.91,-6.59
118,86.67,32.91,-6.59
119,86.67,32.89,-6.61
120,86.67,32.85,-6.65
121,86.67,32.82,-6.68
122,86.67,32.78,-6.72
123,86.67,32.76,-6.74
124,86.67,32.72,-6.77
125,86.67,32.72,-6.77
126,86.65,31.74,-7.75
127,86.65,31.72,-7.77
128,86.65,31.7,-7.79
129,86.65,31.66,-7.82
130,86.65,31.64,-7.84
131,86.65,31.64,-7.84
132,86.65,31.2,-8.27
133,86.65,31.18,-8.29
134,86.65,31.15,-8.33
