 ??????=86.68,?????=35.29,?????=-4.24 
,,
,,
 ??????=86.68,?????=35.24,?????=-4.28 
,,
,,
 ??????=86.68,?????=35.20,?????=-4.32 
,,
,,
 ??????=86.68,?????=35.17,?????=-4.36 
,,
,,
 ??????=86.68,?????=35.13,?????=-4.40 
,,
,,
 ??????=86.68,?????=35.13,?????=-4.40 
,,
,,
 ??????=86.67,?????=33.78,?????=-5.73 
,,
,,
 ??????=86.67,?????=33.77,?????=-5.74 
,,
,,
 ??????=86.67,?????=33.74,?????=-5.77 
,,
,,
 ??????=86.67,?????=33.73,?????=-5.78 
,,
,,
 ??????=86.67,?????=33.69,?????=-5.82 
,,
,,
 ??????=86.67,?????=33.69,?????=-5.82 
,,
,,
 ??????=86.67,?????=32.98,?????=-6.52 
,,
,,
 ??????=86.67,?????=32.94,?????=-6.56 
,,
,,
 ??????=86.67,?????=32.91,?????=-6.59 
,,
,,
 ??????=86.67,?????=32.91,?????=-6.59 
,,
,,
 ??????=86.67,?????=32.89,?????=-6.61 
,,
,,
 ??????=86.67,?????=32.85,?????=-6.65 
,,
,,
 ??????=86.67,?????=32.82,?????=-6.68 
,,
,,
 ??????=86.67,?????=32.78,?????=-6.72 
,,
,,
 ??????=86.67,?????=32.76,?????=-6.74 
,,
,,
 ??????=86.67,?????=32.72,?????=-6.77 
,,
,,
 ??????=86.67,?????=32.72,?????=-6.77 
,,
,,
 ??????=86.65,?????=31.74,?????=-7.75 
,,
,,
 ??????=86.65,?????=31.72,?????=-7.77 
,,
,,
 ??????=86.65,?????=31.70,?????=-7.79 
,,
,,
 ??????=86.65,?????=31.66,?????=-7.82 
,,
,,
 ??????=86.65,?????=31.64,?????=-7.84 
,,
,,
 ??????=86.65,?????=31.64,?????=-7.84 
,,
,,
 ??????=86.65,?????=31.20,?????=-8.27 
,,
,,
 ??????=86.65,?????=31.18,?????=-8.29 
,,
,,
 ??????=86.65,?????=31.15,?????=-8.33 
,,
,,
 ??????=86.65,?????=31.11,?????=-8.37 
,,
,,
 ??????=86.65,?????=31.08,?????=-8.40 
,,
,,
 ??????=86.65,?????=31.05,?????=-8.42 
,,
,,
 ??????=86.65,?????=31.03,?????=-8.45 
,,
,,
 ??????=86.65,?????=31.00,?????=-8.47 
,,
,,
 ??????=86.65,?????=30.97,?????=-8.50 
,,
,,
 ??????=86.65,?????=30.96,?????=-8.52 
,,
,,
 ??????=86.65,?????=30.96,?????=-8.52 
,,
,,
 ??????=86.63,?????=30.14,?????=-9.32 
,,
,,
 ??????=86.63,?????=30.11,?????=-9.35 
,,
,,
 ??????=86.63,?????=30.10,?????=-9.36 
,,
,,
 ??????=86.63,?????=30.09,?????=-9.37 
,,
,,
 ??????=86.63,?????=30.05,?????=-9.41 
,,
,,
 ??????=86.63,?????=30.05,?????=-9.41 
,,
,,
 ??????=86.63,?????=29.70,?????=-9.75 
,,
,,
 ??????=86.63,?????=29.70,?????=-9.75 
,,
,,
 ??????=86.63,?????=29.70,?????=-9.75 
,,
,,
 ??????=86.63,?????=29.69,?????=-9.76 
,,
,,
 ??????=86.63,?????=29.67,?????=-9.78 
,,
,,
 ??????=86.63,?????=29.63,?????=-9.82 
,,
,,
 ??????=86.63,?????=29.61,?????=-9.84 
,,
,,
 ??????=86.63,?????=29.59,?????=-9.86 
,,
,,
 ??????=86.63,?????=29.58,?????=-9.87 
,,
,,
 ??????=86.63,?????=29.57,?????=-9.88 
,,
,,
 ??????=86.63,?????=29.57,?????=-9.88 
,,
,,
 ??????=86.62,?????=29.05,?????=-10.39 
,,
,,
 ??????=86.62,?????=29.02,?????=-10.42 
,,
,,
 ??????=86.62,?????=29.01,?????=-10.43 
,,
,,
 ??????=86.62,?????=28.98,?????=-10.46 
,,
,,
 ??????=86.62,?????=28.95,?????=-10.49 
,,
,,
 ??????=86.62,?????=28.93,?????=-10.50 
,,
,,
 ??????=86.62,?????=28.93,?????=-10.51 
,,
,,
 ??????=86.62,?????=28.92,?????=-10.52 
,,
,,
 ??????=86.62,?????=28.89,?????=-10.55 
,,
,,
 ??????=86.62,?????=28.87,?????=-10.56 
,,
,,
 ??????=86.62,?????=28.87,?????=-10.56 
,,
,,
 ??????=86.61,?????=28.37,?????=-11.05 
,,
,,
 ??????=86.62,?????=28.37,?????=-11.05 
,,
,,
 ??????=86.62,?????=28.37,?????=-11.06 
,,
,,
 ??????=86.61,?????=28.36,?????=-11.06 
,,
,,
 ??????=86.62,?????=28.35,?????=-11.07 
,,
,,
 ??????=86.62,?????=28.35,?????=-11.08 
,,
,,
 ??????=86.62,?????=28.34,?????=-11.08 
,,
,,
 ??????=86.62,?????=28.33,?????=-11.09 
,,
,,
 ??????=86.61,?????=28.32,?????=-11.10 
,,
,,
 ??????=86.61,?????=28.31,?????=-11.11 
,,
,,
 ??????=86.61,?????=28.31,?????=-11.11 
,,
,,
 ??????=86.61,?????=27.96,?????=-11.45 
,,
,,
 ??????=86.61,?????=27.96,?????=-11.45 
,,
,,
 ??????=86.61,?????=27.96,?????=-11.45 
,,
,,
 ??????=86.61,?????=27.95,?????=-11.46 
,,
,,
 ??????=86.61,?????=27.95,?????=-11.46 
,,
,,
 ??????=86.61,?????=27.93,?????=-11.48 
,,
,,
 ??????=86.61,?????=27.94,?????=-11.47 
,,
,,
 ??????=86.61,?????=27.94,?????=-11.47 
,,
,,
 ??????=86.61,?????=27.93,?????=-11.47 
,,
,,
 ??????=86.61,?????=27.91,?????=-11.49 
,,
,,
 ??????=86.61,?????=27.91,?????=-11.49 
,,
,,
 ??????=86.61,?????=27.71,?????=-11.69 
,,
,,
 ??????=86.61,?????=27.69,?????=-11.71 
,,
,,
 ??????=86.61,?????=27.68,?????=-11.71 
,,
,,
 ??????=86.61,?????=27.67,?????=-11.73 
,,
,,
 ??????=86.61,?????=27.67,?????=-11.72 
,,
,,
 ??????=86.61,?????=27.67,?????=-11.72 
,,
,,
 ??????=86.61,?????=27.66,?????=-11.74 
,,
,,
 ??????=86.61,?????=27.63,?????=-11.76 
,,
,,
 ??????=86.61,?????=27.62,?????=-11.77 
,,
,,
 ??????=86.61,?????=27.61,?????=-11.78 
,,
,,
 ??????=86.61,?????=27.61,?????=-11.78 
,,
,,
 ??????=86.61,?????=27.31,?????=-12.07 
,,
,,
 ??????=86.61,?????=27.33,?????=-12.05 
,,
,,
 ??????=86.61,?????=27.32,?????=-12.05 
,,
,,
 ??????=86.60,?????=27.30,?????=-12.07 
,,
,,
 ??????=86.60,?????=27.29,?????=-12.09 
,,
,,
 ??????=86.61,?????=27.31,?????=-12.07 
,,
,,
 ??????=86.61,?????=27.31,?????=-12.07 
,,
,,
 ??????=86.61,?????=27.29,?????=-12.09 
,,
,,
 ??????=86.61,?????=27.28,?????=-12.10 
,,
,,
 ??????=86.61,?????=27.28,?????=-12.10 
,,
,,
 ??????=86.61,?????=27.28,?????=-12.10 
,,
,,
 ??????=86.60,?????=26.95,?????=-12.41 
,,
,,
 ??????=86.60,?????=26.95,?????=-12.42 
,,
,,
 ??????=86.60,?????=26.93,?????=-12.43 
,,
,,
 ??????=86.60,?????=26.93,?????=-12.43 
,,
,,
 ??????=86.60,?????=26.92,?????=-12.44 
,,
,,
 ??????=86.60,?????=26.90,?????=-12.46 
,,
,,
 ??????=86.60,?????=26.87,?????=-12.49 
,,
,,
 ??????=86.60,?????=26.87,?????=-12.49 
,,
,,
 ??????=86.60,?????=26.87,?????=-12.49 
,,
,,
 ??????=86.60,?????=26.86,?????=-12.50 
,,
,,
 ??????=86.60,?????=26.86,?????=-12.50 
,,
,,
 ??????=86.60,?????=26.69,?????=-12.66 
,,
,,
 ??????=86.60,?????=26.68,?????=-12.67 
,,
,,
 ??????=86.60,?????=26.68,?????=-12.67 
,,
,,
 ??????=86.60,?????=26.68,?????=-12.67 
,,
,,
 ??????=86.60,?????=26.67,?????=-12.68 
,,
,,
 ??????=86.60,?????=26.65,?????=-12.70 
,,
,,
 ??????=86.60,?????=26.64,?????=-12.71 
,,
,,
 ??????=86.60,?????=26.64,?????=-12.71 
,,
,,
 ??????=86.59,?????=26.63,?????=-12.71 
,,
,,
 ??????=86.60,?????=26.64,?????=-12.70 
,,
,,
 ??????=86.60,?????=26.64,?????=-12.70 
,,
,,
 ??????=86.60,?????=26.42,?????=-12.92 
,,
,,
 ??????=86.59,?????=26.40,?????=-12.93 
,,
,,
 ??????=86.59,?????=26.38,?????=-12.95 
,,
,,
 ??????=86.59,?????=26.38,?????=-12.95 
,,
,,
 ??????=86.59,?????=26.37,?????=-12.96 
,,
,,
 ??????=86.59,?????=26.36,?????=-12.97 
,,
,,
 ??????=86.59,?????=26.36,?????=-12.97 
,,
,,
 ??????=86.59,?????=26.36,?????=-12.97 
,,
,,
 ??????=86.59,?????=26.34,?????=-12.99 
,,
,,
 ??????=86.59,?????=26.33,?????=-13.00 
,,
,,
 ??????=86.59,?????=26.33,?????=-13.00 
,,
,,
 ??????=86.59,?????=26.17,?????=-13.15 
,,
,,
 ??????=86.59,?????=26.17,?????=-13.15 
,,
,,
 ??????=86.59,?????=26.16,?????=-13.16 
,,
,,
 ??????=86.59,?????=26.17,?????=-13.15 
,,
,,
 ??????=86.59,?????=26.16,?????=-13.16 
,,
,,
 ??????=86.59,?????=26.16,?????=-13.16 
,,
,,
 ??????=86.59,?????=26.18,?????=-13.14 
,,
,,
 ??????=86.59,?????=26.18,?????=-13.14 
,,
,,
 ??????=86.59,?????=26.17,?????=-13.15 
,,
,,
 ??????=86.59,?????=26.18,?????=-13.14 
,,
,,
 ??????=86.59,?????=26.18,?????=-13.14 
,,
,,
 ??????=86.59,?????=26.14,?????=-13.18 
,,
,,
 ??????=86.59,?????=26.14,?????=-13.18 
,,
,,
 ??????=86.59,?????=26.15,?????=-13.18 
,,
,,
 ??????=86.59,?????=26.13,?????=-13.19 
,,
,,
 ??????=86.59,?????=26.13,?????=-13.19 
,,
,,
 ??????=86.59,?????=26.12,?????=-13.20 
,,
,,
 ??????=86.58,?????=26.12,?????=-13.20 
,,
,,
 ??????=86.58,?????=26.11,?????=-13.21 
,,
,,
 ??????=86.58,?????=26.11,?????=-13.21 
,,
,,
 ??????=86.58,?????=26.11,?????=-13.21 
,,
,,
 ??????=86.58,?????=26.11,?????=-13.21 
,,
,,
 ??????=86.65,?????=33.27,?????=-6.07 
,,
,,
 ??????=86.66,?????=33.25,?????=-6.09 
,,
,,
 ??????=86.66,?????=33.20,?????=-6.13 
,,
,,
 ??????=86.66,?????=33.17,?????=-6.16 
,,
,,
 ??????=86.66,?????=33.16,?????=-6.17 
,,
,,
 ??????=86.66,?????=33.12,?????=-6.21 
,,
,,
 ??????=86.66,?????=33.08,?????=-6.25 
,,
,,
 ??????=86.66,?????=33.04,?????=-6.30 
,,
,,
 ??????=86.66,?????=33.02,?????=-6.32 
,,
,,
 ??????=86.66,?????=32.98,?????=-6.35 
,,
,,
 ??????=86.66,?????=32.98,?????=-6.35 
,,
,,
 ??????=86.67,?????=39.52,?????=0.17 
,,
,,
 ??????=86.67,?????=39.47,?????=0.12 
,,
,,
 ??????=86.67,?????=39.42,?????=0.08 
,,
,,
 ??????=86.67,?????=39.38,?????=0.03 
,,
,,
 ??????=86.67,?????=39.32,?????=-0.02 
,,
,,
 ??????=86.68,?????=39.25,?????=-0.09 
,,
,,
 ??????=86.68,?????=39.19,?????=-0.16 
,,
,,
 ??????=86.68,?????=39.15,?????=-0.20 
,,
,,
 ??????=86.68,?????=39.10,?????=-0.25 
,,
,,
 ??????=86.68,?????=39.05,?????=-0.29 
,,
,,
 ??????=86.68,?????=39.05,?????=-0.29 
,,
,,
 ??????=86.68,?????=37.34,?????=-2.01 
,,
,,
 ??????=86.68,?????=37.31,?????=-2.04 
,,
,,
 ??????=86.68,?????=37.25,?????=-2.10 
,,
,,
 ??????=86.68,?????=37.19,?????=-2.15 
,,
,,
 ??????=86.68,?????=37.15,?????=-2.20 
,,
,,
 ??????=86.68,?????=37.09,?????=-2.26 
,,
,,
 ??????=86.68,?????=37.04,?????=-2.30 
,,
,,
 ??????=86.68,?????=37.00,?????=-2.35 
,,
,,
 ??????=86.68,?????=36.96,?????=-2.39 
,,
,,
 ??????=86.68,?????=36.92,?????=-2.43 
,,
,,
 ??????=86.68,?????=36.92,?????=-2.43 
,,
,,
 ??????=86.67,?????=35.49,?????=-3.86 
,,
,,
 ??????=86.67,?????=35.47,?????=-3.88 
,,
,,
 ??????=86.67,?????=35.42,?????=-3.92 
,,
,,
 ??????=86.67,?????=35.38,?????=-3.97 
,,
,,
 ??????=86.67,?????=35.33,?????=-4.01 
,,
,,
 ??????=86.67,?????=35.33,?????=-4.01 
,,
,,
 ??????=86.67,?????=34.56,?????=-4.78 
,,
,,
 ??????=86.67,?????=34.52,?????=-4.82 
,,
,,
 ??????=86.67,?????=34.48,?????=-4.87 
,,
,,
 ??????=86.67,?????=34.45,?????=-4.90 
,,
,,
 ??????=86.67,?????=34.43,?????=-4.92 
,,
,,
 ??????=86.67,?????=34.39,?????=-4.96 
,,
,,
 ??????=86.67,?????=34.34,?????=-5.01 
,,
,,
 ??????=86.67,?????=34.30,?????=-5.05 
,,
,,
 ??????=86.66,?????=34.25,?????=-5.09 
,,
,,
 ??????=86.66,?????=34.21,?????=-5.14 
,,
,,
 ??????=86.66,?????=34.21,?????=-5.14 
,,
,,
 ??????=86.66,?????=33.09,?????=-6.26 
,,
,,
 ??????=86.66,?????=33.06,?????=-6.28 
,,
,,
 ??????=86.66,?????=33.03,?????=-6.31 
,,
,,
 ??????=86.66,?????=33.01,?????=-6.33 
,,
,,
 ??????=86.66,?????=32.99,?????=-6.35 
,,
,,
 ??????=86.66,?????=32.99,?????=-6.35 
,,
,,
 ??????=86.66,?????=32.48,?????=-6.86 
,,
,,
 ??????=86.66,?????=32.45,?????=-6.89 
,,
,,
 ??????=86.66,?????=32.41,?????=-6.94 
,,
,,
 ??????=86.66,?????=32.37,?????=-6.97 
,,
,,
 ??????=86.66,?????=32.35,?????=-6.99 
,,
,,
 ??????=86.66,?????=32.34,?????=-7.00 
,,
,,
 ??????=86.66,?????=32.30,?????=-7.04 
,,
,,
 ??????=86.65,?????=32.25,?????=-7.09 
,,
,,
 ??????=86.65,?????=32.22,?????=-7.12 
,,
,,
 ??????=86.65,?????=32.22,?????=-7.13 
,,
,,
 ??????=86.65,?????=32.22,?????=-7.13 
,,
,,
 ??????=86.65,?????=31.40,?????=-7.94 
,,
,,
 ??????=86.65,?????=31.36,?????=-7.99 
,,
,,
 ??????=86.65,?????=31.32,?????=-8.02 
,,
,,
 ??????=86.65,?????=31.32,?????=-8.03 
,,
,,
 ??????=86.65,?????=31.29,?????=-8.06 
,,
,,
 ??????=86.65,?????=31.29,?????=-8.06 
,,
,,
 ??????=86.64,?????=30.79,?????=-8.56 
,,
,,
 ??????=86.64,?????=30.78,?????=-8.57 
,,
,,
 ??????=86.64,?????=30.77,?????=-8.58 
,,
,,
 ??????=86.64,?????=30.76,?????=-8.58 
,,
,,
 ??????=86.64,?????=30.74,?????=-8.60 
,,
,,
 ??????=86.64,?????=30.72,?????=-8.62 
,,
,,
 ??????=86.64,?????=30.69,?????=-8.65 
,,
,,
 ??????=86.64,?????=30.69,?????=-8.66 
,,
,,
 ??????=86.64,?????=30.66,?????=-8.68 
,,
,,
 ??????=86.64,?????=30.64,?????=-8.70 
,,
,,
 ??????=86.64,?????=30.64,?????=-8.70 
,,
,,
 ??????=86.64,?????=30.09,?????=-9.26 
,,
,,
 ??????=86.64,?????=30.06,?????=-9.29 
,,
,,
 ??????=86.64,?????=30.04,?????=-9.31 
,,
,,
 ??????=86.64,?????=30.00,?????=-9.34 
,,
,,
 ??????=86.64,?????=29.99,?????=-9.35 
,,
,,
 ??????=86.64,?????=29.98,?????=-9.36 
,,
,,
 ??????=86.64,?????=29.96,?????=-9.39 
,,
,,
 ??????=86.64,?????=29.93,?????=-9.41 
,,
,,
 ??????=86.64,?????=29.91,?????=-9.43 
,,
,,
 ??????=86.64,?????=29.89,?????=-9.45 
,,
,,
 ??????=86.64,?????=29.89,?????=-9.45 
,,
,,
 ??????=86.64,?????=29.31,?????=-10.04 
,,
,,
 ??????=86.64,?????=29.28,?????=-10.07 
,,
,,
 ??????=86.64,?????=29.26,?????=-10.08 
,,
,,
 ??????=86.63,?????=29.26,?????=-10.09 
,,
,,
 ??????=86.64,?????=29.23,?????=-10.11 
,,
,,
 ??????=86.64,?????=29.21,?????=-10.13 
,,
,,
 ??????=86.64,?????=29.20,?????=-10.15 
,,
,,
 ??????=86.64,?????=29.18,?????=-10.17 
,,
,,
 ??????=86.64,?????=29.17,?????=-10.17 
,,
,,
 ??????=86.64,?????=29.14,?????=-10.21 
,,
,,
 ??????=86.64,?????=29.14,?????=-10.21 
,,
,,
 ??????=86.63,?????=28.64,?????=-10.70 
,,
,,
 ??????=86.63,?????=28.62,?????=-10.72 
,,
,,
 ??????=86.63,?????=28.60,?????=-10.74 
,,
,,
 ??????=86.63,?????=28.59,?????=-10.75 
,,
,,
 ??????=86.63,?????=28.59,?????=-10.76 
,,
,,
 ??????=86.63,?????=28.57,?????=-10.77 
,,
,,
 ??????=86.63,?????=28.56,?????=-10.79 
,,
,,
 ??????=86.63,?????=28.54,?????=-10.80 
,,
,,
 ??????=86.62,?????=28.51,?????=-10.83 
,,
,,
 ??????=86.62,?????=28.51,?????=-10.84 
,,
,,
 ??????=86.62,?????=28.51,?????=-10.84 
,,
,,
