x,y,z
54.98,3.2,-3.37
55.01,3.93,-2.78
55.01,3.93,-2.78
55.01,3.93,-2.78
55.01,3.92,-2.78
55.01,3.92,-2.79
55.01,3.92,-2.79
55.01,3.91,-2.79
55.01,3.91,-2.79
55.01,3.91,-2.8
55.01,3.9,-2.8
55.01,3.9,-2.8
55.02,4.55,-2.27
55.02,4.55,-2.27
55.02,4.54,-2.27
